"ticker","panel","leverage_pct","gamma","statistic","paper","diagnosed_numerical_exception","exception_reason"
"DJX","unconstrained",5,"1","hsd_ann",18.31,FALSE,""
"DJX","unconstrained",5,"1","appraisal_ann",0.37,FALSE,""
"DJX","unconstrained",5,"3","mean_ann",7.39,FALSE,""
"DJX","unconstrained",5,"3","sd_ann",16.19,FALSE,""
"DJX","unconstrained",5,"3","sharpe_ann",0.46,FALSE,""
"DJX","unconstrained",5,"3","alpha_ann",4.51,FALSE,""
"DJX","unconstrained",5,"3","beta",0.49,FALSE,""
"DJX","unconstrained",5,"3","hsd_ann",13.58,FALSE,""
"DJX","unconstrained",5,"3","appraisal_ann",0.33,FALSE,""
"DJX","unconstrained",5,"5","mean_ann",5.55,FALSE,""
"DJX","unconstrained",5,"5","sd_ann",13.32,FALSE,""
"DJX","unconstrained",5,"5","sharpe_ann",0.42,FALSE,""
"DJX","unconstrained",5,"5","alpha_ann",3.32,FALSE,""
"DJX","unconstrained",5,"5","beta",0.37,FALSE,""
"DJX","unconstrained",5,"5","hsd_ann",11.47,FALSE,""
"DJX","unconstrained",5,"5","appraisal_ann",0.29,FALSE,""
"DJX","solvency",2,"1","mean_ann",3.33,FALSE,""
"DJX","solvency",2,"1","sd_ann",10.97,FALSE,""
"DJX","solvency",2,"1","sharpe_ann",0.3,FALSE,""
"DJX","solvency",2,"1","alpha_ann",1.33,FALSE,""
"DJX","solvency",2,"1","beta",0.34,FALSE,""
"DJX","solvency",2,"1","hsd_ann",9.13,FALSE,""
"DJX","solvency",2,"1","appraisal_ann",0.15,FALSE,""
"DJX","solvency",2,"3","mean_ann",3.45,FALSE,""
"DJX","solvency",2,"3","sd_ann",8.34,FALSE,""
"DJX","solvency",2,"3","sharpe_ann",0.41,FALSE,""
"DJX","solvency",2,"3","alpha_ann",1.88,FALSE,""
"DJX","solvency",2,"3","beta",0.27,FALSE,""
"DJX","solvency",2,"3","hsd_ann",6.81,FALSE,""
"DJX","solvency",2,"3","appraisal_ann",0.28,FALSE,""
"DJX","solvency",2,"5","mean_ann",3.04,FALSE,""
"DJX","solvency",2,"5","sd_ann",7.15,FALSE,""
"DJX","solvency",2,"5","sharpe_ann",0.42,FALSE,""
"DJX","solvency",2,"5","alpha_ann",1.71,FALSE,""
"DJX","solvency",2,"5","beta",0.22,FALSE,""
"DJX","solvency",2,"5","hsd_ann",5.89,FALSE,""
"DJX","solvency",2,"5","appraisal_ann",0.29,FALSE,""
"DJX","solvency",3,"1","mean_ann",4.37,FALSE,""
"DJX","solvency",3,"1","sd_ann",15.55,FALSE,""
"DJX","solvency",3,"1","sharpe_ann",0.28,FALSE,""
"DJX","solvency",3,"1","alpha_ann",1.45,FALSE,""
"DJX","solvency",3,"1","beta",0.49,FALSE,""
"DJX","solvency",3,"1","hsd_ann",12.75,FALSE,""
"DJX","solvency",3,"1","appraisal_ann",0.11,FALSE,""
"DJX","solvency",3,"3","mean_ann",4.23,FALSE,""
"DJX","solvency",3,"3","sd_ann",11.41,FALSE,""
"DJX","solvency",3,"3","sharpe_ann",0.37,FALSE,""
"DJX","solvency",3,"3","alpha_ann",2.08,FALSE,""
"DJX","solvency",3,"3","beta",0.36,FALSE,""
"DJX","solvency",3,"3","hsd_ann",9.34,FALSE,""
"DJX","solvency",3,"3","appraisal_ann",0.22,FALSE,""
"DJX","solvency",3,"5","mean_ann",3.5,FALSE,""
"DJX","solvency",3,"5","sd_ann",9.72,FALSE,""
"DJX","solvency",3,"5","sharpe_ann",0.36,FALSE,""
"DJX","solvency",3,"5","alpha_ann",1.74,FALSE,""
"DJX","solvency",3,"5","beta",0.3,FALSE,""
"DJX","solvency",3,"5","hsd_ann",8.1,FALSE,""
"DJX","solvency",3,"5","appraisal_ann",0.21,FALSE,""
"DJX","solvency",5,"1","mean_ann",6.14,FALSE,""
"DJX","solvency",5,"1","sd_ann",21.66,FALSE,""
"DJX","solvency",5,"1","sharpe_ann",0.28,FALSE,""
"DJX","solvency",5,"1","alpha_ann",1.96,FALSE,""
"DJX","solvency",5,"1","beta",0.7,FALSE,""
"DJX","solvency",5,"1","hsd_ann",17.52,FALSE,""
"DJX","solvency",5,"1","appraisal_ann",0.11,FALSE,""
"DJX","solvency",5,"3","mean_ann",4.94,FALSE,""
"DJX","solvency",5,"3","sd_ann",16.43,FALSE,""
