"period","asset","leverage_pct","gamma","statistic","paper","diagnosed_numerical_exception","exception_reason"
"2011-2015","SPX options",5,5,"beta",0.32,FALSE,""
"2011-2015","SPX options",5,5,"hsd_ann",7.23,FALSE,""
"2011-2015","SPX options",5,5,"appraisal_ann",2.59,FALSE,""
"2011-2015","SPX index",NA,NA,"mean_ann",9.04,FALSE,""
"2011-2015","SPX index",NA,NA,"sd_ann",14.29,FALSE,""
"2011-2015","SPX index",NA,NA,"sharpe_ann",0.63,FALSE,""
"2016-2020","SPX options",2,1,"mean_ann",2.39,FALSE,""
"2016-2020","SPX options",2,1,"sd_ann",2.64,FALSE,""
"2016-2020","SPX options",2,1,"sharpe_ann",0.91,FALSE,""
"2016-2020","SPX options",2,1,"alpha_ann",1.21,FALSE,""
"2016-2020","SPX options",2,1,"beta",0.07,FALSE,""
"2016-2020","SPX options",2,1,"hsd_ann",2.11,FALSE,""
"2016-2020","SPX options",2,1,"appraisal_ann",0.57,FALSE,""
"2016-2020","SPX options",2,3,"mean_ann",2.9,FALSE,""
"2016-2020","SPX options",2,3,"sd_ann",2.54,FALSE,""
"2016-2020","SPX options",2,3,"sharpe_ann",1.14,FALSE,""
"2016-2020","SPX options",2,3,"alpha_ann",1.8,FALSE,""
"2016-2020","SPX options",2,3,"beta",0.07,FALSE,""
"2016-2020","SPX options",2,3,"hsd_ann",2.08,FALSE,""
"2016-2020","SPX options",2,3,"appraisal_ann",0.87,FALSE,""
"2016-2020","SPX options",2,5,"mean_ann",3.02,FALSE,""
"2016-2020","SPX options",2,5,"sd_ann",2.43,FALSE,""
"2016-2020","SPX options",2,5,"sharpe_ann",1.24,FALSE,""
"2016-2020","SPX options",2,5,"alpha_ann",2,FALSE,""
"2016-2020","SPX options",2,5,"beta",0.06,FALSE,""
"2016-2020","SPX options",2,5,"hsd_ann",2,FALSE,""
"2016-2020","SPX options",2,5,"appraisal_ann",1,FALSE,""
"2016-2020","SPX options",3,1,"mean_ann",8.29,FALSE,""
"2016-2020","SPX options",3,1,"sd_ann",15.84,FALSE,""
"2016-2020","SPX options",3,1,"sharpe_ann",0.52,FALSE,""
"2016-2020","SPX options",3,1,"alpha_ann",0.1,FALSE,""
